time,G,PLC,Ca
0.0,10.0,10.0,10.0
5.0,9888.0,12937.0,920.0
10.0,5.0,9375.0,0.0
15.0,13097.0,6101.0,4543.0
20.0,8685.0,15690.0,530.0
25.0,36.0,859.0,1.0
30.0,10518.0,13809.0,1475.0
40.0,7931.0,9276.0,363.0
50.0,521.0,390.0,4.0
60.0,5.0,4726.0,0.0
80.0,9933.0,15145.0,1908.0
nan,nan,nan,nan
