time,A,B
0.0,67.106622783669948,87.250912103059179
2.0408163265306123,143.75383559216323,68.047776782964633
4.0816326530612246,269.41863029934251,59.033952608145142
6.1224489795918373,459.76200763353791,174.23503315963455
8.1632653061224492,183.11849438095902,540.32932212478261
10.204081632653061,38.004107110341721,461.25493880781011
12.244897959183675,7.3288131268485222,263.86715179870129
14.285714285714286,9.7224508223722701,150.36453935937988
16.326530612244898,25.160813328561908,72.440270953202045
18.367346938775512,63.693389922458145,49.541459289021638
20.408163265306122,120.09189420047532,42.20117253558935
22.448979591836736,239.24974861878698,66.612517150435451
24.489795918367349,406.93756248692983,188.51366056167649
26.530612244897959,192.94936167548411,529.62152670794478
28.571428571428573,60.792666673718131,508.05318717337013
30.612244897959183,21.374935539965961,289.33775447857943
32.653061224489797,44.259548581197024,185.25274989179897
34.693877551020407,39.613980512321852,132.83595456757232
36.734693877551024,101.70938768446818,97.541907758250346
38.775510204081634,166.7519926013735,75.155345089967824
40.816326530612244,264.12164902433193,128.03259059809193
42.857142857142861,245.2827372644642,293.14225959339836
44.897959183673471,59.562728358686684,424.66930001379126
46.938775510204081,22.322601205925199,298.79676001353221
48.979591836734699,30.402824885258262,193.69533574864363
51.020408163265309,55.026961631526639,105.44895261527873
53.061224489795919,103.58963993622957,67.810205241036499
55.102040816326529,164.57516438151893,92.527414880842684
57.142857142857146,271.84918419505925,114.60880123085938
59.183673469387756,285.96654001151074,316.74394211021968
61.224489795918366,102.07985080016635,436.38315429206239
63.265306122448983,48.258891787324238,336.533936921747
65.306122448979593,33.870843373634457,212.23951912668795
67.34693877551021,34.176255120904301,113.98703633860815
69.387755102040813,116.33754848306621,69.848472998882471
71.428571428571431,138.18582989447791,85.439031692530264
73.469387755102048,231.88665626379412,116.91914093693646
75.510204081632651,271.09464401128008,233.6079640304086
77.551020408163268,146.74705087001627,369.8038615537385
79.591836734693885,48.724704588082233,311.21196030389854
81.632653061224488,32.196697370633714,201.89008745031072
83.673469387755105,35.935728706285204,131.72408049806694
85.714285714285722,68.620085685769808,84.535358614794774
87.755102040816325,106.80744620659597,84.876340607567712
89.795918367346943,208.0726458166605,108.87333949672177
91.83673469387756,300.89969688558887,202.14604801395089
93.877551020408163,228.61873683149395,391.35251205681317
95.91836734693878,90.874403923878518,426.60363884146125
97.959183673469397,13.318693649007947,311.34876594662313
100.0,19.76830556243268,178.10780045302312
