time,A,B
0.0,19.784371457699926,-24.985640994990121
5.0,178.29213418552177,160.57074899588815
10.0,-28.684166361566994,407.05219298151479
15.0,5.7487120584417966,252.86999008035551
20.0,98.56044734385199,9.0754021207137967
25.0,327.37509057878191,190.86764907420621
30.0,-99.907625764226538,240.63897640412523
40.0,69.108448764245395,79.540546733671803
50.0,126.95620659482927,151.21376526163141
60.0,184.7777161967679,357.21258213000863
80.0,30.994913666149301,279.44501901672902
100.0,-40.337421910688953,117.83726366112512
