time,A,B
0.0,71.0,79.0
5.0,332.0,89.0
10.0,33.0,474.0
15.0,27.0,119.0
20.0,108.0,43.0
25.0,391.0,265.0
30.0,18.0,332.0
40.0,221.0,89.0
50.0,31.0,165.0
60.0,176.0,441.0
80.0,49.0,304.0
100.0,12.0,175.0
