time,A,B
0.0,83.649541756332056,67.519668192374937
5.0,337.61369195174058,77.745873982198773
10.0,39.395671779604726,477.22673695615021
15.0,4.7424691840470672,124.49616172666333
20.0,109.53769778445488,22.188355859829073
25.0,401.84520947869578,273.53071108851856
30.0,17.399568305806511,334.32623197249302
40.0,219.99091058988154,93.622712102327512
50.0,38.82689965406216,172.87567410501222
60.0,168.36501907468579,442.40114690588626
80.0,54.469916586606331,305.31246758742344
100.0,20.41334284608655,171.0544129520012
