time,A
0.0,10.0
2.0408163265306123,11.0
4.0816326530612246,10.0
6.1224489795918373,9.0
8.1632653061224492,11.0
10.204081632653061,10.0
12.244897959183675,9.0
14.285714285714286,9.0
16.326530612244898,8.0
18.367346938775512,6.0
20.408163265306122,6.0
22.448979591836736,8.0
24.489795918367349,7.0
26.530612244897959,4.0
28.571428571428573,4.0
30.612244897959183,5.0
32.653061224489797,10.0
34.693877551020407,9.0
36.734693877551024,11.0
38.775510204081634,15.0
40.816326530612244,13.0
42.857142857142861,13.0
44.897959183673471,13.0
46.938775510204081,12.0
48.979591836734699,10.0
51.020408163265309,13.0
53.061224489795919,14.0
55.102040816326529,11.0
57.142857142857146,10.0
59.183673469387756,7.0
61.224489795918366,6.0
63.265306122448983,7.0
65.306122448979593,8.0
67.34693877551021,8.0
69.387755102040813,8.0
71.428571428571431,9.0
73.469387755102048,9.0
75.510204081632651,8.0
77.551020408163268,8.0
79.591836734693885,6.0
81.632653061224488,11.0
83.673469387755105,7.0
85.714285714285722,6.0
87.755102040816325,7.0
89.795918367346943,7.0
91.83673469387756,7.0
93.877551020408163,4.0
95.91836734693878,6.0
97.959183673469397,8.0
nan,nan
